data:text/csv;;;
Type;Name;Id;Sensor
IfcRailing;RAILING - 005;2Q5k4lieP1RvTL2ZMquJKO;
IfcRailing;RAILING - 004;0pGeTixEvDsfMn9noVMob1;
IfcRailing;RAILING - 005;2__nC21FrAYAT$sv__NRHa;
IfcSite;Site;20FpTZCqJy2vhVJYtjuIce;
IfcSlab;SLA - 015;0sZWdxOyjE_AyMSgHKdLU_;
IfcSlab;SLA - 014;2z4MbB2Dj1OxY6yYz7yJa2;
IfcSlab;SLA - 013;0OvbFoA01F0vk7UsRj_nCc;
IfcSlab;SLA - 016;0YHN1qvUr8A9ZakBWOML7W;
IfcSlab;SLA - 016;1vXd7EHyzFCxE7vZheWUhz;
IfcSlab;SLA - 016;3afOLgOfjC5eyzy06Zdqkz;
IfcSlab;SLA - 016;0A1lQByjj1hO7YdWQyDTew;
IfcStair;STAIR - 004;1j8lqENKb3SeKMzcZYuuRt;
IfcWall;ApproachWall;0qtTxVVJ98oRyMOqKLHpqy;
IfcWall;SW - 038;3p4EguI0f6CPAkyDNQIbxm;
IfcWall;SW - 038;15I9o3TCH2pQ0QQ8tUN14x;
IfcWall;ApproachWall;01XOXj$9b6EPbCvrHMJ$KO;
IfcWall;WL Side - 100;2_BxCgw6zEARAkB6iaS_fp;
IfcWall;WL Side - 100;1KwhobiYbB5hHqPtY6hCjK;
IfcWall;ApproachWall;2FXk1JWPP4N9K6XcuZDcvy;
IfcWall;ApproachWall;17zjHsm3PFNR3cdBCuxyig;
IfcWallStandardCase;SW - 039;3od9Ck4pv9APjNHbUgTZk_;
IfcWallStandardCase;SW - 040;1a1gNmLd95ewz3HOCCpTCl;
IfcWallStandardCase;SW - 048;0zVR0m8hvDJO09b6vXPK0w;
IfcWallStandardCase;SW - 047;3UuwwrWcH9CxDjJMd8QDPL;
IfcWallStandardCase;SW - 046;3y8GMttOH74gSqx1LM5Pqr;
IfcWallStandardCase;SW - 045;1FJ8ZT8h9DzfUUi8Rn7t1g;
IfcWallStandardCase;SW - 049;0dOawH6P9C_fiALLZT90ol;
IfcWallStandardCase;SW - 039;2CGQIoLS5EIwVLEoq9DWAq;
IfcWallStandardCase;SW - 040;3sks3V7yDCyPVFUayKJjci;
